horizon,subset,n,start,end,r2_mean,r2_q_raw,r2_q_mz,r2_har3,r2_har4,r2_harq,r2_harqts,q_mz_vs_q_raw_t,q_mz_vs_q_raw_p,q_mz_vs_har4_t,q_mz_vs_har4_p,harqts_vs_har4_t,harqts_vs_har4_p
66,full_sample,3076,2013-07-05,2025-09-25,0.0,-0.20410088777697766,0.0633938450486724,0.039592498849013835,0.0246326340471702,0.056668084642813144,0.05949841747258777,2.3320382878801578,0.019698677033174607,1.3376833745518235,0.18099967282607043,1.1089652979533793,0.26744515255095413
66,pre_2020,1635,2013-07-05,2019-12-31,0.0,-0.11059526316990875,0.055737123333961636,0.012796928115529349,0.01216128649051762,0.040259605951591615,0.01454414686332417,2.221247162100927,0.026334225459341658,3.486838852242464,0.0004887657700188599,0.20865879232498194,0.8347146109538817
66,2020_and_after,1441,2020-01-02,2025-09-25,0.0,-0.2268590047474548,0.06525739677752307,0.04611421062417076,0.027668006386175725,0.060661706191587283,0.0704397330688129,2.2137620158012528,0.02684515430416195,1.0514805602094297,0.29303793313627,1.1143542205487569,0.26512725464970976
66,exclude_calendar_2020_origins,2823,2013-07-05,2025-09-25,0.0,-0.28155577158283385,0.09177770588553524,0.021891777231122456,0.020078534335670306,0.058300906477664394,0.04024269313065498,4.056008764134834,4.991838711702244e-05,2.3062266070788877,0.021097973607357594,0.7203643218590576,0.471300711093919
66,exclude_windows_intersecting_2018_2020_2022,2123,2013-07-05,2025-09-25,0.0,-0.751347103685146,0.17132772034290378,0.06900831989974643,0.0792885887658572,0.13681141949522369,0.15867338035079226,3.8740529520856404,0.00010704013876749256,1.2927095313197654,0.19611154000235143,1.1665631652799284,0.2433868259615093
66,vix_below_75th_percentile,2305,2013-07-05,2025-09-25,0.0,-0.007734844400245633,0.003792984997487703,0.00017263166914793793,-0.0006353592148824472,0.007829687499054327,0.003524568128032368,0.2751668852667264,0.783188026999176,0.7689664319232145,0.4419132383495348,0.737722088685073,0.46068334649759357
66,vix_at_or_above_75th_percentile,771,2014-02-03,2025-06-20,0.0,-0.7806433190219104,0.23838552979873995,0.1553315832263954,0.09882097138630674,0.20006053551247793,0.2238409821660906,2.708472257829677,0.006759376293315267,1.2577323135908036,0.20848858182641417,1.0788574993741893,0.28065125760104626
66,vix_at_or_above_90th_percentile,308,2015-08-21,2025-04-24,0.0,-0.6991330446341462,0.2853143607648072,0.18624333740291843,0.12451351947895528,0.2418648866450438,0.2931922958835932,2.646432604900917,0.008134571268872013,1.3428008839889267,0.1793364570941821,1.3878208911432537,0.16519159167648834
66,vix_term_contango,2845,2013-07-05,2025-09-25,0.0,-0.19446130819723373,0.009113542293617827,0.004721750522159951,-0.006657274397479762,0.0011690156410321118,-0.009483107193100304,2.6117071239704153,0.009009139658057894,1.4340582445569496,0.1515556423060446,-0.4026653121311261,0.6871944554450702
66,vix_term_backwardation,231,2013-10-07,2025-04-24,0.0,-0.23364906912909356,0.22977913357561064,0.14648172435123374,0.1205455192062298,0.22678925457269028,0.27094732807137534,1.5372296786047037,0.12423707497627605,1.2646348431597283,0.2060022567205788,1.6023111068882623,0.10908683080002794
66,exclude_top_1pct_realized_variance,3045,2013-07-05,2025-09-25,0.0,-0.4203555768322764,0.12308580885049336,0.0681153781495124,0.041509701513759656,0.09671089923672826,0.09309883734079616,2.5921179512684382,0.009538706160567461,1.4699902321872083,0.14156439947891206,1.0448201547111942,0.2961060979798307
