horizon,spec,target_type,model,n,start,end,oos_r2,rmse,mae,mean_realized,mean_forecast,robustness
66,lagged_one_day,rv,q_mz,3076,2013-07-05,2025-09-25,0.05554695996148362,0.012102142280990179,0.005144071341839143,0.007811071988635508,0.006885800550537662,lagged_one_day
66,lagged_one_day,rv,har3,3076,2013-07-05,2025-09-25,0.039592498849013835,0.012203933760704958,0.0054474262236528966,0.007811071988635508,0.007196762660677017,lagged_one_day
66,lagged_one_day,rv,har4,3076,2013-07-05,2025-09-25,0.0246326340471702,0.012298614264398298,0.0055258108548135775,0.007811071988635508,0.00692704405614625,lagged_one_day
66,lagged_one_day,rv,harq,3076,2013-07-05,2025-09-25,0.05253225200625311,0.012121441999840428,0.0053285214069725565,0.007811071988635508,0.006690071056445314,lagged_one_day
66,lagged_one_day,rv,harqts,3076,2013-07-05,2025-09-25,0.05139983163893169,0.01212868365463909,0.005424119234381775,0.007811071988635508,0.006602939404052138,lagged_one_day
5,rolling_five_year,rv,mean,3198,2013-04-09,2025-12-22,0.0,0.0017431126384787345,0.0005723656517667326,0.0005806693419902098,0.000586872243198313,rolling_five_year
5,rolling_five_year,rv,q_raw,3198,2013-04-09,2025-12-22,0.35831388206691606,0.001396325835921072,0.0004715548299424824,0.0005806693419902098,0.0007201854585666559,rolling_five_year
5,rolling_five_year,rv,q_mz,3198,2013-04-09,2025-12-22,0.04755273111941516,0.0017011629759222313,0.00047204965766655245,0.0005806693419902098,0.0006418891421954933,rolling_five_year
5,rolling_five_year,rv,har3,3198,2013-04-09,2025-12-22,-0.4622033678589015,0.0021077997161820738,0.00047793850792377695,0.0005806693419902098,0.0006445276121096341,rolling_five_year
5,rolling_five_year,rv,har4,3198,2013-04-09,2025-12-22,-0.4770724064988414,0.002118489638903144,0.00048170929604862326,0.0005806693419902098,0.0006390886189368109,rolling_five_year
5,rolling_five_year,rv,harq,3198,2013-04-09,2025-12-22,-0.3382048862203815,0.002016446748579642,0.0004659432612781406,0.0005806693419902098,0.0006285554553452289,rolling_five_year
5,rolling_five_year,rv,harqts,3198,2013-04-09,2025-12-22,-0.2864182970524376,0.001977045006913193,0.00046295478995876486,0.0005806693419902098,0.0006064777750154538,rolling_five_year
22,rolling_five_year,rv,mean,3164,2013-05-02,2025-11-26,0.0,0.005903981442539619,0.002246674083841501,0.0025681833904287864,0.002582256525929293,rolling_five_year
22,rolling_five_year,rv,q_raw,3164,2013-05-02,2025-11-26,0.19738329839122337,0.005289310716802208,0.002068831196689027,0.0025681833904287864,0.0031811749755241026,rolling_five_year
22,rolling_five_year,rv,q_mz,3164,2013-05-02,2025-11-26,0.1140189184062842,0.005557215111132944,0.0018233398362303148,0.0025681833904287864,0.002609306058761812,rolling_five_year
22,rolling_five_year,rv,har3,3164,2013-05-02,2025-11-26,0.15958504682591457,0.005412424724236609,0.0018913291132552242,0.0025681833904287864,0.0025343690277988625,rolling_five_year
22,rolling_five_year,rv,har4,3164,2013-05-02,2025-11-26,0.13406617331228377,0.005493983317213166,0.001945713090602902,0.0025681833904287864,0.0025159208342692145,rolling_five_year
22,rolling_five_year,rv,harq,3164,2013-05-02,2025-11-26,0.14968073637576773,0.005444224087409166,0.0019087273360687902,0.0025681833904287864,0.0025470744273921922,rolling_five_year
22,rolling_five_year,rv,harqts,3164,2013-05-02,2025-11-26,0.13145599620055715,0.005502257320885697,0.0019938831452700452,0.0025681833904287864,0.0024182908736711316,rolling_five_year
66,rolling_five_year,rv,mean,3076,2013-07-05,2025-09-25,0.0,0.012703719034274651,0.006323043924229607,0.007811071988635508,0.0077422445619816345,rolling_five_year
66,rolling_five_year,rv,q_raw,3076,2013-07-05,2025-09-25,-0.1570316972323298,0.013664807195106885,0.0077285954101366135,0.007811071988635508,0.011181384132445234,rolling_five_year
66,rolling_five_year,rv,q_mz,3076,2013-07-05,2025-09-25,0.05258009239220374,0.012365228124648422,0.005809494279141282,0.007811071988635508,0.007644488747683017,rolling_five_year
66,rolling_five_year,rv,har3,3076,2013-07-05,2025-09-25,0.05007057308046514,0.012381593759972907,0.005916313612914824,0.007811071988635508,0.007458097175260189,rolling_five_year
66,rolling_five_year,rv,har4,3076,2013-07-05,2025-09-25,0.048881282913615376,0.012389342073287719,0.006045513889769695,0.007811071988635508,0.007320125059729471,rolling_five_year
66,rolling_five_year,rv,harq,3076,2013-07-05,2025-09-25,0.02265144587836554,0.012559016105913003,0.006244135235807554,0.007811071988635508,0.007421725963029846,rolling_five_year
66,rolling_five_year,rv,harqts,3076,2013-07-05,2025-09-25,0.019180555665199384,0.012581296966187783,0.006326362045149104,0.007811071988635508,0.00727008957756285,rolling_five_year
66,wrong_maturity_vix_66,rv,mean,3076,2013-07-05,2025-09-25,0.0,0.01245294500194889,0.0058581587434329676,0.007811071988635508,0.007043115933056253,wrong_maturity_vix_66
66,wrong_maturity_vix_66,rv,q_raw,3076,2013-07-05,2025-09-25,-0.23942795301524566,0.01386381368774495,0.006648691222733599,0.007811071988635508,0.009591498441132657,wrong_maturity_vix_66
66,wrong_maturity_vix_66,rv,q_mz,3076,2013-07-05,2025-09-25,0.08506414646252669,0.01191152573439782,0.005055289764088739,0.007811071988635508,0.00691912337475728,wrong_maturity_vix_66
66,wrong_maturity_vix_66,rv,har3,3076,2013-07-05,2025-09-25,0.039592498849013835,0.012203933760704958,0.0054474262236528966,0.007811071988635508,0.007196762660677017,wrong_maturity_vix_66
66,wrong_maturity_vix_66,rv,har4,3076,2013-07-05,2025-09-25,0.0246326340471702,0.012298614264398298,0.0055258108548135775,0.007811071988635508,0.00692704405614625,wrong_maturity_vix_66
66,wrong_maturity_vix_66,rv,harq,3076,2013-07-05,2025-09-25,0.07046789415765897,0.012006163891805265,0.005250972509126377,0.007811071988635508,0.006723972294952251,wrong_maturity_vix_66
66,wrong_maturity_vix_66,rv,harqts,3076,2013-07-05,2025-09-25,0.05949841747258722,0.012076798921885196,0.005399893548246046,0.007811071988635508,0.0065243238581875595,wrong_maturity_vix_66
5,no_floor,rv,mean,3198,2013-04-09,2025-12-22,0.0,0.0017350414457211394,0.0005465825965548257,0.0005806693419902098,0.0005359726127208287,no_floor
5,no_floor,rv,q_raw,3198,2013-04-09,2025-12-22,0.35232991115144574,0.001396325835921072,0.0004715548299424824,0.0005806693419902098,0.0007201854585666559,no_floor
5,no_floor,rv,q_mz,3198,2013-04-09,2025-12-22,0.30131027657380827,0.0014502805787563445,0.000413426754777451,0.0005806693419902098,0.0005797643856405388,no_floor
5,no_floor,rv,har3,3198,2013-04-09,2025-12-22,0.12811747872979018,0.001620088872659073,0.00043891689823422417,0.0005806693419902098,0.0005891711222463168,no_floor
5,no_floor,rv,har4,3198,2013-04-09,2025-12-22,0.11379379488536667,0.0016333424400667455,0.00043974514948142313,0.0005806693419902098,0.0005906951876900341,no_floor
5,no_floor,rv,harq,3198,2013-04-09,2025-12-22,0.18252255297671782,0.0015687283436719326,0.00041677724283897117,0.0005806693419902098,0.0005515391248892816,no_floor
5,no_floor,rv,harqts,3198,2013-04-09,2025-12-22,0.251250058369921,0.0015013372296188566,0.00040069388767283837,0.0005806693419902098,0.0005250232712401955,no_floor
22,no_floor,rv,mean,3164,2013-05-02,2025-11-26,0.0,0.005854127708492376,0.0021352533359220195,0.0025681833904287864,0.002355639294719286,no_floor
22,no_floor,rv,q_raw,3164,2013-05-02,2025-11-26,0.18365492800003258,0.005289310716802208,0.002068831196689027,0.0025681833904287864,0.0031811749755241026,no_floor
22,no_floor,rv,q_mz,3164,2013-05-02,2025-11-26,0.1791945294708156,0.005303741069742393,0.0016468579842525088,0.0025681833904287864,0.002371585323264514,no_floor
22,no_floor,rv,har3,3164,2013-05-02,2025-11-26,0.15791008490766545,0.005372067061809136,0.0017968664113166336,0.0025681833904287864,0.0024037492962529976,no_floor
22,no_floor,rv,har4,3164,2013-05-02,2025-11-26,0.14247804110261808,0.005421067531092879,0.0018124886978212863,0.0025681833904287864,0.002399258086353826,no_floor
22,no_floor,rv,harq,3164,2013-05-02,2025-11-26,0.15960475288000642,0.005366658818147613,0.0017600640525046612,0.0025681833904287864,0.002236945776492939,no_floor
22,no_floor,rv,harqts,3164,2013-05-02,2025-11-26,0.19063489794627841,0.005266649658604453,0.0017284340236636178,0.0025681833904287864,0.0021818144342703413,no_floor
66,no_floor,rv,mean,3076,2013-07-05,2025-09-25,0.0,0.01245294500194889,0.0058581587434329676,0.007811071988635508,0.007043115933056253,no_floor
