horizon,spec,target_type,model,n,start,end,oos_r2,rmse,mae,mean_realized,mean_forecast,sample
5,baseline,rv,mean,3076,2013-07-05,2025-09-25,0.0,0.0017674939700052723,0.0005543989470748303,0.0005896607502455138,0.0005329909263839747,common_origins
5,baseline,rv,q_raw,3076,2013-07-05,2025-09-25,0.3530297125855665,0.001421674287291553,0.0004772036692933973,0.0005896607502455138,0.0007266286697827772,common_origins
5,baseline,rv,q_mz,3076,2013-07-05,2025-09-25,0.30151440886572745,0.0014771910464129545,0.00042033807740908075,0.0005896607502455138,0.0005888378869560183,common_origins
5,baseline,rv,har3,3076,2013-07-05,2025-09-25,0.12794844048273912,0.0016505512825069877,0.00044575284783217664,0.0005896607502455138,0.0005951576048149528,common_origins
5,baseline,rv,har4,3076,2013-07-05,2025-09-25,0.113577974254232,0.0016640953622618078,0.0004467653413425546,0.0005896607502455138,0.0005969842776338205,common_origins
5,baseline,rv,harq,3076,2013-07-05,2025-09-25,0.18629844086673986,0.0015943751429907073,0.0004204207901668613,0.0005896607502455138,0.0005599333698687325,common_origins
5,baseline,rv,harqts,3076,2013-07-05,2025-09-25,0.25463697087531223,0.0015259554847705452,0.00040092470110136667,0.0005896607502455138,0.0005352404622594025,common_origins
22,baseline,rv,mean,3076,2013-07-05,2025-09-25,0.0,0.005933346140633364,0.002163130240736078,0.0025977935783786463,0.0023459592307915346,common_origins
22,baseline,rv,q_raw,3076,2013-07-05,2025-09-25,0.18477398142758672,0.00535721037281997,0.0020926531073475513,0.0025977935783786463,0.003197166147044219,common_origins
22,baseline,rv,q_mz,3076,2013-07-05,2025-09-25,0.17910599819981143,0.005375801525421575,0.0016706237668171423,0.0025977935783786463,0.0023809680425253207,common_origins
22,baseline,rv,har3,3076,2013-07-05,2025-09-25,0.15772880589631366,0.00544534824124775,0.0018240594847940231,0.0025977935783786463,0.0024092018856260527,common_origins
22,baseline,rv,har4,3076,2013-07-05,2025-09-25,0.14223984050144245,0.005495188826984976,0.0018407457509361967,0.0025977935783786463,0.0024051978603654395,common_origins
22,baseline,rv,harq,3076,2013-07-05,2025-09-25,0.18696822270788704,0.005349995850458089,0.0017264677945469232,0.0025977935783786463,0.0022950597394044044,common_origins
22,baseline,rv,harqts,3076,2013-07-05,2025-09-25,0.1924563525297306,0.005331908495502818,0.0017445063049324428,0.0025977935783786463,0.0021840904591178536,common_origins
66,baseline,rv,mean,3076,2013-07-05,2025-09-25,0.0,0.01245294500194889,0.0058581587434329676,0.007811071988635508,0.007043115933056253,common_origins
66,baseline,rv,q_raw,3076,2013-07-05,2025-09-25,-0.20410088777697766,0.013664807195106885,0.0077285954101366135,0.007811071988635508,0.011181384132445234,common_origins
66,baseline,rv,q_mz,3076,2013-07-05,2025-09-25,0.0633938450486724,0.012051762754848736,0.0050975388187005834,0.007811071988635508,0.006894032899997718,common_origins
66,baseline,rv,har3,3076,2013-07-05,2025-09-25,0.039592498849013835,0.012203933760704958,0.0054474262236528966,0.007811071988635508,0.007196762660677017,common_origins
66,baseline,rv,har4,3076,2013-07-05,2025-09-25,0.0246326340471702,0.012298614264398298,0.0055258108548135775,0.007811071988635508,0.00692704405614625,common_origins
66,baseline,rv,harq,3076,2013-07-05,2025-09-25,0.056668084642813144,0.012094957149097347,0.005288344653407338,0.007811071988635508,0.006646491674494898,common_origins
66,baseline,rv,harqts,3076,2013-07-05,2025-09-25,0.05949841747258777,0.012076798921885193,0.005399893548246039,0.007811071988635508,0.0065243238581875395,common_origins
