horizon,spec,target_type,model,n,start,end,oos_r2,rmse,mae,mean_realized,mean_forecast
5,baseline,rv,mean,3198,2013-04-09,2025-12-22,0.0,0.0017350414457211394,0.0005465825965548257,0.0005806693419902098,0.0005359726127208287
5,baseline,rv,q_raw,3198,2013-04-09,2025-12-22,0.35232991115144574,0.001396325835921072,0.0004715548299424824,0.0005806693419902098,0.0007201854585666559
5,baseline,rv,q_mz,3198,2013-04-09,2025-12-22,0.30131410621020605,0.0014502766041344802,0.00041339232059748134,0.0005806693419902098,0.0005797988198205083
5,baseline,rv,har3,3198,2013-04-09,2025-12-22,0.12811747872979018,0.001620088872659073,0.00043891689823422417,0.0005806693419902098,0.0005891711222463168
5,baseline,rv,har4,3198,2013-04-09,2025-12-22,0.11379379488536667,0.0016333424400667455,0.00043974514948142313,0.0005806693419902098,0.0005906951876900341
5,baseline,rv,harq,3198,2013-04-09,2025-12-22,0.18622263164465258,0.0015651741164459045,0.00041412786088654903,0.0005806693419902098,0.0005541885068417036
5,baseline,rv,harqts,3198,2013-04-09,2025-12-22,0.25441355529300347,0.0014981622690968311,0.00039527273973330234,0.0005806693419902098,0.0005304444191797316
22,baseline,rv,mean,3164,2013-05-02,2025-11-26,0.0,0.005854127708492376,0.0021352533359220195,0.0025681833904287864,0.002355639294719286
22,baseline,rv,q_raw,3164,2013-05-02,2025-11-26,0.18365492800003258,0.005289310716802208,0.002068831196689027,0.0025681833904287864,0.0031811749755241026
22,baseline,rv,q_mz,3164,2013-05-02,2025-11-26,0.1791945294708156,0.005303741069742393,0.0016468579842525088,0.0025681833904287864,0.002371585323264514
22,baseline,rv,har3,3164,2013-05-02,2025-11-26,0.15791008490766545,0.005372067061809136,0.0017968664113166336,0.0025681833904287864,0.0024037492962529976
22,baseline,rv,har4,3164,2013-05-02,2025-11-26,0.14247804110261808,0.005421067531092879,0.0018124886978212863,0.0025681833904287864,0.002399258086353826
22,baseline,rv,harq,3164,2013-05-02,2025-11-26,0.1868048155904556,0.005279096386303244,0.001704009500162943,0.0025681833904287864,0.002293000328834657
22,baseline,rv,harqts,3164,2013-05-02,2025-11-26,0.19216016683862125,0.005261684751502887,0.0017218590771036972,0.0025681833904287864,0.002188389380830262
66,baseline,rv,mean,3076,2013-07-05,2025-09-25,0.0,0.01245294500194889,0.0058581587434329676,0.007811071988635508,0.007043115933056253
66,baseline,rv,q_raw,3076,2013-07-05,2025-09-25,-0.20410088777697766,0.013664807195106885,0.0077285954101366135,0.007811071988635508,0.011181384132445234
66,baseline,rv,q_mz,3076,2013-07-05,2025-09-25,0.0633938450486724,0.012051762754848736,0.0050975388187005834,0.007811071988635508,0.006894032899997718
66,baseline,rv,har3,3076,2013-07-05,2025-09-25,0.039592498849013835,0.012203933760704958,0.0054474262236528966,0.007811071988635508,0.007196762660677017
66,baseline,rv,har4,3076,2013-07-05,2025-09-25,0.0246326340471702,0.012298614264398298,0.0055258108548135775,0.007811071988635508,0.00692704405614625
66,baseline,rv,harq,3076,2013-07-05,2025-09-25,0.056668084642813144,0.012094957149097347,0.005288344653407338,0.007811071988635508,0.006646491674494898
66,baseline,rv,harqts,3076,2013-07-05,2025-09-25,0.05949841747258777,0.012076798921885193,0.005399893548246039,0.007811071988635508,0.0065243238581875395
