horizon,offset,n,r2_mean,r2_q_raw,r2_q_mz,r2_har3,r2_har4,r2_harq,r2_harqts,delta_qmz_qraw,delta_harqts_har4
5,0,640,0.0,0.3059277676441279,0.2673401692177898,0.28076504639144384,0.271069910354106,0.3465194910596494,0.36424090667261433,-0.03858759842633808,0.09317099631850834
5,1,640,0.0,0.31469468644798393,0.2600046844139441,-0.15886194782554997,-0.17112337379359155,-0.06095923439962214,-0.015775412143836487,-0.05469000203403984,0.15534796164975506
5,2,640,0.0,0.3168470113954842,0.2683724779373874,0.1373451645397551,0.12137904009250677,0.17432389210197186,0.21581813625333113,-0.048474533458096825,0.09443909616082435
5,3,639,0.0,0.3401450134599243,0.2639774925158773,-0.021538753162269053,-0.041236380450258014,0.024953644089787508,0.1962241941085523,-0.076167520944047,0.2374605745588103
5,4,639,0.0,0.5028510631157939,0.46863374845878536,0.4618946834603731,0.4481549109818683,0.5023885750383353,0.5650458317945681,-0.0342173146570085,0.1168909208126998
22,0,144,0.0,0.02977329622724889,0.08630438449549671,0.041581454739002766,0.028173324987667225,0.06877273661560457,0.053359970764449205,0.05653108826824782,0.02518664577678198
22,1,144,0.0,0.22705413683720443,0.17848202129181245,0.12279595182247516,0.10606924856663424,0.17738641328397609,0.1869588199943667,-0.04857211554539198,0.08088957142773245
22,2,144,0.0,0.2651052818110091,0.18914500484842867,0.0948126029704317,0.08361983539325146,0.18923712514582347,0.20557821134342447,-0.07596027696258045,0.121958375950173
22,3,144,0.0,0.14848378446876354,0.12033012620382388,0.13262910586379828,0.10934248326019713,0.1419696773682928,0.1372462035919504,-0.02815365826493965,0.027903720331753257
22,4,144,0.0,0.2320515613139129,0.1600610437211778,0.1478143298424307,0.13100160499716673,0.17362966865308238,0.18630089980492837,-0.07199051759273511,0.055299294807761634
22,5,144,0.0,0.16198265365143505,0.11951991679611218,0.20108523151101731,0.1876348217966861,0.13419671321739624,0.15028842815947885,-0.04246273685532287,-0.037346393637207265
22,6,144,0.0,0.2483503201919809,0.1617870946631933,0.06458801308544337,0.01563290742625989,0.17801064950022116,0.19074472284613098,-0.08656322552878759,0.1751118154198711
22,7,144,0.0,0.3036982189369919,0.19494591362091185,0.1654678297841683,0.1317289892392116,0.23577468648325262,0.23619628053784336,-0.10875230531608004,0.10446729129863175
22,8,144,0.0,0.5068362035414281,0.3419970469772774,0.36402519325464733,0.3275418686076579,0.3873227460325769,0.3951051267866935,-0.1648391565641507,0.06756325817903563
22,9,144,0.0,0.4245868400569087,0.2862234969861156,0.364421179656094,0.33375539671937904,0.351090166711407,0.3506054098400989,-0.13836334307079312,0.016850013120719876
22,10,144,0.0,0.4721115277482696,0.3432118683014671,0.3894172507107352,0.3605842612411372,0.4013439521609943,0.3868990683832433,-0.12889965944680248,0.0263148071421061
22,11,144,0.0,0.5911482649583074,0.5101897701342453,0.28978489383475625,0.27543683274970043,0.45937050976049043,0.5581920490851624,-0.08095849482406214,0.28275521633546197
22,12,144,0.0,0.3570936751512247,0.27338412781740473,0.36438499172785743,0.35414618851662294,0.3274633135752527,0.34766353050674115,-0.08370954733381997,-0.006482658009881792
22,13,144,0.0,-0.01952506370145013,0.22143609597292668,0.13128985825297312,0.1335052123912145,0.18648603199277203,0.20010166498753568,0.2409611596743768,0.06659645259632119
22,14,144,0.0,0.020602181851171242,0.18148227053256738,0.12292002651190015,0.12483188801327838,0.15525157884034302,0.17481275164090015,0.16088008868139614,0.049980863627621774
22,15,144,0.0,-0.04910612302786066,0.1305619006697416,0.08568495083239047,0.0859024175053027,0.11383972716717061,0.11305699194492203,0.17966802369760226,0.027154574439619328
22,16,144,0.0,0.025526792672480147,0.13945404328241917,0.15116351860235167,0.15221186142284227,0.15628194526904382,0.14477752590495985,0.11392725060993902,-0.007434335517882418
22,17,144,0.0,0.016391439201595692,0.0997918541235342,0.12225383238419729,0.12090885656188821,0.10065237669913873,0.08673630408591537,0.0834004149219385,-0.03417255247597284
22,18,143,0.0,0.06243761714886065,0.10476451861363334,0.13471700593533986,0.1329248626547216,0.12136631916369633,0.112470363470209,0.04232690146477269,-0.020454499184512587
22,19,143,0.0,-0.013206922872387228,0.05520519274065483,0.013825462176256353,0.005705421295795321,0.041151788288659286,0.04251143424666637,0.06841211561304206,0.03680601295087105
22,20,143,0.0,0.0510716036871135,0.10036876781774906,0.0901318237828076,0.08320389421575969,0.08553570132702171,0.07769148590305408,0.04929716413063556,-0.005512408312705608
