horizon,option_model,n,alpha,p_alpha,beta_physical,p_physical,beta_option,p_option,r2
5,q_raw,3198,-0.00037798033337724967,0.07170648873277163,0.039623746206186604,0.7621537961926812,1.2986156663459505,0.003559299587417695,0.3844907735134323
5,q_mz,3198,9.068681205258825e-05,0.08088297475153257,0.19377090100087585,0.12213897978409742,0.6476780882774231,2.620969569041448e-06,0.3128416259369937
22,q_raw,3164,0.00017835303486806413,0.5282457664449323,-0.11226491937904973,0.5514465928854796,0.8359121681939798,0.0008305054737935358,0.20643171317487818
22,q_mz,3164,7.302077617316472e-05,0.8491537716701469,0.23145389766845959,0.06983843433819471,0.8179528518865364,0.0009063126740191989,0.17448695076899745
66,q_raw,3076,0.003739032661736339,0.04004226523445351,0.14682379895720846,0.22898596785866598,0.2732205929825023,0.004792779160944224,0.061852381825686975
66,q_mz,3076,0.002862914313153349,0.3158043461342811,0.31064912214850976,0.04623846839009087,0.4056083805978616,0.26841737597265325,0.05090381623732465
