fund,horizon,model,mapping,n,oos_r2,rmse,mae
SPXU,5,harq,rate,3198,0.2793966922258362,0.009351095475813389,0.00276761927796343
SPXU,5,harqts,intercept,3198,0.31838725095108145,0.009094591946671346,0.003279478606434381
SPXU,5,harqts,rate,3198,0.34010726317643325,0.008948516427407335,0.002656110132773436
SSO,22,q_raw,intercept,3164,0.1947881516116866,0.006192615835462271,0.0025803458819641406
SSO,22,q_raw,rate,3164,0.2562910948432716,0.005951419333801125,0.002280508728925568
SSO,22,q_mz,intercept,3164,0.13397725898958857,0.006422198263560888,0.0025840696282329267
SSO,22,q_mz,rate,3164,0.2275565441294073,0.006065301718412167,0.001923673246374718
SSO,22,har4,intercept,3164,0.1266693860561895,0.006449237977880476,0.0025259629718867257
SSO,22,har4,rate,3164,0.20576197410610886,0.006150273068701675,0.0020292445646412083
SSO,22,harq,intercept,3164,0.14714682907324672,0.006373180151011238,0.0025950529738759196
SSO,22,harq,rate,3164,0.23596210904595816,0.0060322107903111105,0.0019572370198769704
SSO,22,harqts,intercept,3164,0.16085481517581424,0.0063217543206095655,0.0025119374748348695
SSO,22,harqts,rate,3164,0.24283804716911506,0.0060050060868920285,0.001961684325698097
UPRO,22,q_raw,intercept,3164,0.19152667145010727,0.018591607425355983,0.006695035841333889
UPRO,22,q_raw,rate,3164,0.21468740128530217,0.018323370967353658,0.006652866531856156
UPRO,22,q_mz,intercept,3164,0.14196749147056686,0.019152962705255513,0.006380172423582765
UPRO,22,q_mz,rate,3164,0.1861407725352101,0.018653431546113052,0.005477670421755448
UPRO,22,har4,intercept,3164,0.1311795461609323,0.019272990622115918,0.006356389597570231
UPRO,22,har4,rate,3164,0.16593386881542083,0.018883580105417706,0.005862709512711386
UPRO,22,harq,intercept,3164,0.15463560244913166,0.019011048447902943,0.006439623827444817
UPRO,22,harq,rate,3164,0.19564869187432954,0.018544151984371846,0.00558635085499857
UPRO,22,harqts,intercept,3164,0.1654663444228065,0.018888871830592204,0.0062505565696987075
UPRO,22,harqts,rate,3164,0.2019623634140678,0.018471228409369933,0.005608592206410696
SDS,22,q_raw,intercept,3164,0.1865092099910608,0.017539438286813168,0.009013572328225278
SDS,22,q_raw,rate,3164,0.2825978566362667,0.016471027617676916,0.006277934998339317
SDS,22,q_mz,intercept,3164,0.19763251452690656,0.017419112383875137,0.007521697905583847
SDS,22,q_mz,rate,3164,0.2604609668265192,0.016723220305811377,0.005083719221017067
SDS,22,har4,intercept,3164,0.16070224006575062,0.017815474440373798,0.00805006735904813
SDS,22,har4,rate,3164,0.23864042111993689,0.016968141161083392,0.005575778932122159
SDS,22,harq,intercept,3164,0.20207920737973406,0.017370777263766398,0.007687797637386594
SDS,22,harq,rate,3164,0.269811070686221,0.016617166925345275,0.005255666603100794
SDS,22,harqts,intercept,3164,0.19869044921041057,0.017407624903395907,0.007839513069787002
SDS,22,harqts,rate,3164,0.2736157370009973,0.016573818317950746,0.005313513916881964
SPXU,22,q_raw,intercept,3164,0.20992959597734706,0.03365013637362462,0.0159930480135438
SPXU,22,q_raw,rate,3164,0.2593147860450118,0.03258147710135056,0.012426687059324211
SPXU,22,q_mz,intercept,3164,0.20539050196320996,0.033746660922926754,0.013130300989385101
SPXU,22,q_mz,rate,3164,0.23095849915623634,0.03319929186095629,0.010074087456954768
SPXU,22,har4,intercept,3164,0.17499471503309072,0.03438605054426272,0.01414443264555774
SPXU,22,har4,rate,3164,0.21134431162244693,0.033619995576028176,0.010993893724609122
SPXU,22,harq,intercept,3164,0.21352785646068229,0.03357342160699231,0.013429926091273829
SPXU,22,harq,rate,3164,0.2425985334226629,0.03294708548681813,0.01038531224122369
SPXU,22,harqts,intercept,3164,0.21349359270617585,0.03357415293546747,0.013663378481303645
SPXU,22,harqts,rate,3164,0.24768791445650007,0.03283620445945099,0.010471046552858727
SSO,66,q_raw,intercept,3076,-0.04182422182316681,0.015312286806669009,0.008199142078372395
SSO,66,q_raw,rate,3076,0.044577936205462465,0.014663595199509181,0.008128827334610105
SSO,66,q_mz,intercept,3076,0.025686539273126807,0.014807855958306424,0.00739755352296669
SSO,66,q_mz,rate,3076,0.2047469513118585,0.013378132754520666,0.005662729158226475
SSO,66,har4,intercept,3076,0.022405553745894258,0.014832767616616276,0.007455911878978754
SSO,66,har4,rate,3076,0.18474790223465143,0.013545305121420602,0.006055537750827403
SSO,66,harq,intercept,3076,0.033000707973403376,0.014752169984086945,0.007505676628499757
SSO,66,harq,rate,3076,0.20622186221536287,0.013365721163553496,0.005821933481878699
SSO,66,harqts,intercept,3076,0.04166967972300961,0.014685895863281085,0.007474589602565468
SSO,66,harqts,rate,3076,0.20818511597147127,0.01334918219241205,0.005948855833347054
UPRO,66,q_raw,intercept,3076,-0.07333133796227398,0.04562289665638727,0.02259386192537265
