check,pass,detail
clean shape calendar_scaling_results_v21.csv,True,"(12, 7) vs (12, 7)"
clean numeric calendar_scaling_results_v21.csv:horizon,True,
clean text calendar_scaling_results_v21.csv:model,True,
clean numeric calendar_scaling_results_v21.csv:n,True,
clean numeric calendar_scaling_results_v21.csv:trading_day_scaling_oos_r2,True,
clean numeric calendar_scaling_results_v21.csv:calendar_day_scaling_oos_r2,True,
clean numeric calendar_scaling_results_v21.csv:difference_calendar_minus_trading,True,
clean numeric calendar_scaling_results_v21.csv:mean_calendar_days,True,
clean run produced calibration_diagnostics_v21.csv,True,
clean shape calibration_diagnostics_v21.csv,True,"(15, 17) vs (15, 17)"
clean numeric calibration_diagnostics_v21.csv:horizon,True,
clean text calibration_diagnostics_v21.csv:model,True,
clean numeric calibration_diagnostics_v21.csv:n,True,
clean numeric calibration_diagnostics_v21.csv:mean_realized,True,
clean numeric calibration_diagnostics_v21.csv:mean_forecast,True,
clean numeric calibration_diagnostics_v21.csv:mean_forecast_to_realized_ratio,True,
clean numeric calibration_diagnostics_v21.csv:mean_error_realized_minus_forecast,True,
clean numeric calibration_diagnostics_v21.csv:mean_absolute_error,True,
clean numeric calibration_diagnostics_v21.csv:mse,True,
clean numeric calibration_diagnostics_v21.csv:squared_bias_share_of_mse,True,
clean numeric calibration_diagnostics_v21.csv:correlation,True,
clean numeric calibration_diagnostics_v21.csv:oos_r2,True,
clean numeric calibration_diagnostics_v21.csv:evaluation_intercept,True,
clean numeric calibration_diagnostics_v21.csv:evaluation_intercept_p,True,
clean numeric calibration_diagnostics_v21.csv:evaluation_slope,True,
clean numeric calibration_diagnostics_v21.csv:evaluation_slope_p,True,
clean numeric calibration_diagnostics_v21.csv:zero_forecast_count,True,
clean run produced common_origin_results.csv,True,
clean shape common_origin_results.csv,True,"(21, 13) vs (21, 13)"
clean numeric common_origin_results.csv:horizon,True,
clean text common_origin_results.csv:spec,True,
clean text common_origin_results.csv:target_type,True,
clean text common_origin_results.csv:model,True,
clean numeric common_origin_results.csv:n,True,
clean text common_origin_results.csv:start,True,
clean text common_origin_results.csv:end,True,
clean numeric common_origin_results.csv:oos_r2,True,
clean numeric common_origin_results.csv:rmse,True,
clean numeric common_origin_results.csv:mae,True,
clean numeric common_origin_results.csv:mean_realized,True,
clean numeric common_origin_results.csv:mean_forecast,True,
clean text common_origin_results.csv:sample,True,
clean run produced data_checks.csv,True,
clean shape data_checks.csv,True,"(14, 3) vs (14, 3)"
clean text data_checks.csv:check,True,
clean text data_checks.csv:value,True,
clean numeric data_checks.csv:pass,True,
clean run produced drag_materiality.csv,True,
clean shape drag_materiality.csv,True,"(12, 8) vs (12, 8)"
clean text drag_materiality.csv:fund,True,
clean numeric drag_materiality.csv:horizon,True,
clean numeric drag_materiality.csv:n,True,
clean numeric drag_materiality.csv:mean_drag_pct,True,
clean numeric drag_materiality.csv:median_drag_pct,True,
clean numeric drag_materiality.csv:mean_abs_drag_pct,True,
clean numeric drag_materiality.csv:p90_abs_drag_pct,True,
clean numeric drag_materiality.csv:p95_abs_drag_pct,True,
clean run produced forecast_encompassing.csv,True,
clean shape forecast_encompassing.csv,True,"(6, 10) vs (6, 10)"
clean numeric forecast_encompassing.csv:horizon,True,
clean text forecast_encompassing.csv:option_model,True,
clean numeric forecast_encompassing.csv:n,True,
clean numeric forecast_encompassing.csv:alpha,True,
clean numeric forecast_encompassing.csv:p_alpha,True,
clean numeric forecast_encompassing.csv:beta_physical,True,
clean numeric forecast_encompassing.csv:p_physical,True,
clean numeric forecast_encompassing.csv:beta_option,True,
clean numeric forecast_encompassing.csv:p_option,True,
clean numeric forecast_encompassing.csv:r2,True,
clean run produced fund_decomposition.csv,True,
clean shape fund_decomposition.csv,True,"(12, 15) vs (12, 15)"
clean text fund_decomposition.csv:fund,True,
clean numeric fund_decomposition.csv:horizon,True,
clean numeric fund_decomposition.csv:n,True,
clean numeric fund_decomposition.csv:beta,True,
clean numeric fund_decomposition.csv:gamma,True,
clean numeric fund_decomposition.csv:estimated_rv_slope,True,
clean numeric fund_decomposition.csv:estimated_rv_slope_se,True,
clean numeric fund_decomposition.csv:slope_minus_theory,True,
clean numeric fund_decomposition.csv:slope_theory_wald_t,True,
clean numeric fund_decomposition.csv:mapping_r2,True,
clean numeric fund_decomposition.csv:corr_drag_theory,True,
clean numeric fund_decomposition.csv:sd_theory,True,
clean numeric fund_decomposition.csv:sd_residual,True,
clean numeric fund_decomposition.csv:signal_noise_ratio,True,
clean numeric fund_decomposition.csv:variance_share_ratio,True,
clean run produced fund_forecast_tests.csv,True,
clean shape fund_forecast_tests.csv,True,"(72, 9) vs (72, 9)"
clean text fund_forecast_tests.csv:fund,True,
clean numeric fund_forecast_tests.csv:horizon,True,
clean text fund_forecast_tests.csv:mapping,True,
clean text fund_forecast_tests.csv:model_a,True,
clean text fund_forecast_tests.csv:model_b,True,
clean numeric fund_forecast_tests.csv:n,True,
clean numeric fund_forecast_tests.csv:mean_loss_gain,True,
clean numeric fund_forecast_tests.csv:hac_t,True,
clean numeric fund_forecast_tests.csv:hac_p,True,
clean run produced fund_forecasts_SDS_22d.csv,True,
clean shape fund_forecasts_SDS_22d.csv,True,"(3164, 23) vs (3164, 23)"
clean text fund_forecasts_SDS_22d.csv:Date,True,
clean text fund_forecasts_SDS_22d.csv:fund,True,
clean numeric fund_forecasts_SDS_22d.csv:horizon,True,
clean numeric fund_forecasts_SDS_22d.csv:position,True,
clean text fund_forecasts_SDS_22d.csv:target_end,True,
clean numeric fund_forecasts_SDS_22d.csv:beta,True,
clean numeric fund_forecasts_SDS_22d.csv:gamma,True,
clean numeric fund_forecasts_SDS_22d.csv:realized_drag,True,
clean numeric fund_forecasts_SDS_22d.csv:realized_variance,True,
clean numeric fund_forecasts_SDS_22d.csv:historical_mean,True,
clean numeric fund_forecasts_SDS_22d.csv:c_intercept,True,
clean numeric fund_forecasts_SDS_22d.csv:c_rate,True,
clean numeric fund_forecasts_SDS_22d.csv:rate_slope,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_har4,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_harq,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SDS_22d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_SDS_5d.csv,True,
clean shape fund_forecasts_SDS_5d.csv,True,"(3198, 23) vs (3198, 23)"
clean text fund_forecasts_SDS_5d.csv:Date,True,
clean text fund_forecasts_SDS_5d.csv:fund,True,
clean numeric fund_forecasts_SDS_5d.csv:horizon,True,
clean numeric fund_forecasts_SDS_5d.csv:position,True,
clean text fund_forecasts_SDS_5d.csv:target_end,True,
clean numeric fund_forecasts_SDS_5d.csv:beta,True,
clean numeric fund_forecasts_SDS_5d.csv:gamma,True,
clean numeric fund_forecasts_SDS_5d.csv:realized_drag,True,
clean numeric fund_forecasts_SDS_5d.csv:realized_variance,True,
clean numeric fund_forecasts_SDS_5d.csv:historical_mean,True,
clean numeric fund_forecasts_SDS_5d.csv:c_intercept,True,
clean numeric fund_forecasts_SDS_5d.csv:c_rate,True,
clean numeric fund_forecasts_SDS_5d.csv:rate_slope,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_har4,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_harq,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SDS_5d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_SDS_66d.csv,True,
clean shape fund_forecasts_SDS_66d.csv,True,"(3076, 23) vs (3076, 23)"
clean text fund_forecasts_SDS_66d.csv:Date,True,
clean text fund_forecasts_SDS_66d.csv:fund,True,
clean numeric fund_forecasts_SDS_66d.csv:horizon,True,
clean numeric fund_forecasts_SDS_66d.csv:position,True,
clean text fund_forecasts_SDS_66d.csv:target_end,True,
clean numeric fund_forecasts_SDS_66d.csv:beta,True,
clean numeric fund_forecasts_SDS_66d.csv:gamma,True,
clean numeric fund_forecasts_SDS_66d.csv:realized_drag,True,
clean numeric fund_forecasts_SDS_66d.csv:realized_variance,True,
clean numeric fund_forecasts_SDS_66d.csv:historical_mean,True,
clean numeric fund_forecasts_SDS_66d.csv:c_intercept,True,
clean numeric fund_forecasts_SDS_66d.csv:c_rate,True,
clean numeric fund_forecasts_SDS_66d.csv:rate_slope,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_har4,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_harq,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SDS_66d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_SPXU_22d.csv,True,
clean shape fund_forecasts_SPXU_22d.csv,True,"(3164, 23) vs (3164, 23)"
clean text fund_forecasts_SPXU_22d.csv:Date,True,
clean text fund_forecasts_SPXU_22d.csv:fund,True,
clean numeric fund_forecasts_SPXU_22d.csv:horizon,True,
clean numeric fund_forecasts_SPXU_22d.csv:position,True,
clean text fund_forecasts_SPXU_22d.csv:target_end,True,
clean numeric fund_forecasts_SPXU_22d.csv:beta,True,
clean numeric fund_forecasts_SPXU_22d.csv:gamma,True,
clean numeric fund_forecasts_SPXU_22d.csv:realized_drag,True,
clean numeric fund_forecasts_SPXU_22d.csv:realized_variance,True,
clean numeric fund_forecasts_SPXU_22d.csv:historical_mean,True,
clean numeric fund_forecasts_SPXU_22d.csv:c_intercept,True,
clean numeric fund_forecasts_SPXU_22d.csv:c_rate,True,
clean numeric fund_forecasts_SPXU_22d.csv:rate_slope,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_har4,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_harq,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SPXU_22d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_SPXU_5d.csv,True,
clean shape fund_forecasts_SPXU_5d.csv,True,"(3198, 23) vs (3198, 23)"
clean text fund_forecasts_SPXU_5d.csv:Date,True,
clean text fund_forecasts_SPXU_5d.csv:fund,True,
clean numeric fund_forecasts_SPXU_5d.csv:horizon,True,
clean numeric fund_forecasts_SPXU_5d.csv:position,True,
clean text fund_forecasts_SPXU_5d.csv:target_end,True,
clean numeric fund_forecasts_SPXU_5d.csv:beta,True,
clean numeric fund_forecasts_SPXU_5d.csv:gamma,True,
clean numeric fund_forecasts_SPXU_5d.csv:realized_drag,True,
clean numeric fund_forecasts_SPXU_5d.csv:realized_variance,True,
clean numeric fund_forecasts_SPXU_5d.csv:historical_mean,True,
clean numeric fund_forecasts_SPXU_5d.csv:c_intercept,True,
clean numeric fund_forecasts_SPXU_5d.csv:c_rate,True,
clean numeric fund_forecasts_SPXU_5d.csv:rate_slope,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_har4,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_harq,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SPXU_5d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_SPXU_66d.csv,True,
clean shape fund_forecasts_SPXU_66d.csv,True,"(3076, 23) vs (3076, 23)"
clean text fund_forecasts_SPXU_66d.csv:Date,True,
clean text fund_forecasts_SPXU_66d.csv:fund,True,
clean numeric fund_forecasts_SPXU_66d.csv:horizon,True,
clean numeric fund_forecasts_SPXU_66d.csv:position,True,
clean text fund_forecasts_SPXU_66d.csv:target_end,True,
clean numeric fund_forecasts_SPXU_66d.csv:beta,True,
clean numeric fund_forecasts_SPXU_66d.csv:gamma,True,
clean numeric fund_forecasts_SPXU_66d.csv:realized_drag,True,
clean numeric fund_forecasts_SPXU_66d.csv:realized_variance,True,
clean numeric fund_forecasts_SPXU_66d.csv:historical_mean,True,
clean numeric fund_forecasts_SPXU_66d.csv:c_intercept,True,
clean numeric fund_forecasts_SPXU_66d.csv:c_rate,True,
clean numeric fund_forecasts_SPXU_66d.csv:rate_slope,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_har4,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_harq,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SPXU_66d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_SSO_22d.csv,True,
clean shape fund_forecasts_SSO_22d.csv,True,"(3164, 23) vs (3164, 23)"
clean text fund_forecasts_SSO_22d.csv:Date,True,
clean text fund_forecasts_SSO_22d.csv:fund,True,
clean numeric fund_forecasts_SSO_22d.csv:horizon,True,
clean numeric fund_forecasts_SSO_22d.csv:position,True,
clean text fund_forecasts_SSO_22d.csv:target_end,True,
clean numeric fund_forecasts_SSO_22d.csv:beta,True,
clean numeric fund_forecasts_SSO_22d.csv:gamma,True,
clean numeric fund_forecasts_SSO_22d.csv:realized_drag,True,
clean numeric fund_forecasts_SSO_22d.csv:realized_variance,True,
clean numeric fund_forecasts_SSO_22d.csv:historical_mean,True,
clean numeric fund_forecasts_SSO_22d.csv:c_intercept,True,
clean numeric fund_forecasts_SSO_22d.csv:c_rate,True,
clean numeric fund_forecasts_SSO_22d.csv:rate_slope,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_har4,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_harq,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SSO_22d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_SSO_5d.csv,True,
clean shape fund_forecasts_SSO_5d.csv,True,"(3198, 23) vs (3198, 23)"
clean text fund_forecasts_SSO_5d.csv:Date,True,
clean text fund_forecasts_SSO_5d.csv:fund,True,
clean numeric fund_forecasts_SSO_5d.csv:horizon,True,
clean numeric fund_forecasts_SSO_5d.csv:position,True,
clean text fund_forecasts_SSO_5d.csv:target_end,True,
clean numeric fund_forecasts_SSO_5d.csv:beta,True,
clean numeric fund_forecasts_SSO_5d.csv:gamma,True,
clean numeric fund_forecasts_SSO_5d.csv:realized_drag,True,
clean numeric fund_forecasts_SSO_5d.csv:realized_variance,True,
clean numeric fund_forecasts_SSO_5d.csv:historical_mean,True,
clean numeric fund_forecasts_SSO_5d.csv:c_intercept,True,
clean numeric fund_forecasts_SSO_5d.csv:c_rate,True,
clean numeric fund_forecasts_SSO_5d.csv:rate_slope,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_har4,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_harq,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SSO_5d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_SSO_66d.csv,True,
clean shape fund_forecasts_SSO_66d.csv,True,"(3076, 23) vs (3076, 23)"
clean text fund_forecasts_SSO_66d.csv:Date,True,
clean text fund_forecasts_SSO_66d.csv:fund,True,
clean numeric fund_forecasts_SSO_66d.csv:horizon,True,
clean numeric fund_forecasts_SSO_66d.csv:position,True,
clean text fund_forecasts_SSO_66d.csv:target_end,True,
clean numeric fund_forecasts_SSO_66d.csv:beta,True,
clean numeric fund_forecasts_SSO_66d.csv:gamma,True,
clean numeric fund_forecasts_SSO_66d.csv:realized_drag,True,
clean numeric fund_forecasts_SSO_66d.csv:realized_variance,True,
clean numeric fund_forecasts_SSO_66d.csv:historical_mean,True,
clean numeric fund_forecasts_SSO_66d.csv:c_intercept,True,
clean numeric fund_forecasts_SSO_66d.csv:c_rate,True,
clean numeric fund_forecasts_SSO_66d.csv:rate_slope,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_har4,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_harq,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_harqts,True,
clean numeric fund_forecasts_SSO_66d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_UPRO_22d.csv,True,
clean shape fund_forecasts_UPRO_22d.csv,True,"(3164, 23) vs (3164, 23)"
clean text fund_forecasts_UPRO_22d.csv:Date,True,
clean text fund_forecasts_UPRO_22d.csv:fund,True,
clean numeric fund_forecasts_UPRO_22d.csv:horizon,True,
clean numeric fund_forecasts_UPRO_22d.csv:position,True,
clean text fund_forecasts_UPRO_22d.csv:target_end,True,
clean numeric fund_forecasts_UPRO_22d.csv:beta,True,
clean numeric fund_forecasts_UPRO_22d.csv:gamma,True,
clean numeric fund_forecasts_UPRO_22d.csv:realized_drag,True,
clean numeric fund_forecasts_UPRO_22d.csv:realized_variance,True,
clean numeric fund_forecasts_UPRO_22d.csv:historical_mean,True,
clean numeric fund_forecasts_UPRO_22d.csv:c_intercept,True,
clean numeric fund_forecasts_UPRO_22d.csv:c_rate,True,
clean numeric fund_forecasts_UPRO_22d.csv:rate_slope,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_har4,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_harq,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_harqts,True,
clean numeric fund_forecasts_UPRO_22d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_UPRO_5d.csv,True,
clean shape fund_forecasts_UPRO_5d.csv,True,"(3198, 23) vs (3198, 23)"
clean text fund_forecasts_UPRO_5d.csv:Date,True,
clean text fund_forecasts_UPRO_5d.csv:fund,True,
clean numeric fund_forecasts_UPRO_5d.csv:horizon,True,
clean numeric fund_forecasts_UPRO_5d.csv:position,True,
clean text fund_forecasts_UPRO_5d.csv:target_end,True,
clean numeric fund_forecasts_UPRO_5d.csv:beta,True,
clean numeric fund_forecasts_UPRO_5d.csv:gamma,True,
clean numeric fund_forecasts_UPRO_5d.csv:realized_drag,True,
clean numeric fund_forecasts_UPRO_5d.csv:realized_variance,True,
clean numeric fund_forecasts_UPRO_5d.csv:historical_mean,True,
clean numeric fund_forecasts_UPRO_5d.csv:c_intercept,True,
clean numeric fund_forecasts_UPRO_5d.csv:c_rate,True,
clean numeric fund_forecasts_UPRO_5d.csv:rate_slope,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_har4,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_harq,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_harqts,True,
clean numeric fund_forecasts_UPRO_5d.csv:forecast_harqts_rate,True,
clean run produced fund_forecasts_UPRO_66d.csv,True,
clean shape fund_forecasts_UPRO_66d.csv,True,"(3076, 23) vs (3076, 23)"
clean text fund_forecasts_UPRO_66d.csv:Date,True,
clean text fund_forecasts_UPRO_66d.csv:fund,True,
clean numeric fund_forecasts_UPRO_66d.csv:horizon,True,
clean numeric fund_forecasts_UPRO_66d.csv:position,True,
clean text fund_forecasts_UPRO_66d.csv:target_end,True,
clean numeric fund_forecasts_UPRO_66d.csv:beta,True,
clean numeric fund_forecasts_UPRO_66d.csv:gamma,True,
clean numeric fund_forecasts_UPRO_66d.csv:realized_drag,True,
clean numeric fund_forecasts_UPRO_66d.csv:realized_variance,True,
clean numeric fund_forecasts_UPRO_66d.csv:historical_mean,True,
clean numeric fund_forecasts_UPRO_66d.csv:c_intercept,True,
clean numeric fund_forecasts_UPRO_66d.csv:c_rate,True,
clean numeric fund_forecasts_UPRO_66d.csv:rate_slope,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_q_raw,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_q_raw_rate,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_q_mz,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_q_mz_rate,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_har4,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_har4_rate,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_harq,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_harq_rate,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_harqts,True,
clean numeric fund_forecasts_UPRO_66d.csv:forecast_harqts_rate,True,
clean run produced fund_model_results.csv,True,
clean shape fund_model_results.csv,True,"(120, 8) vs (120, 8)"
clean text fund_model_results.csv:fund,True,
clean numeric fund_model_results.csv:horizon,True,
clean text fund_model_results.csv:model,True,
clean text fund_model_results.csv:mapping,True,
clean numeric fund_model_results.csv:n,True,
clean numeric fund_model_results.csv:oos_r2,True,
clean numeric fund_model_results.csv:rmse,True,
clean numeric fund_model_results.csv:mae,True,
clean run produced fund_panel_tests.csv,True,
clean shape fund_panel_tests.csv,True,"(9, 9) vs (9, 9)"
clean numeric fund_panel_tests.csv:horizon,True,
clean text fund_panel_tests.csv:model_a,True,
clean text fund_panel_tests.csv:model_b,True,
clean numeric fund_panel_tests.csv:n_dates,True,
clean numeric fund_panel_tests.csv:mean_normalized_loss_gain,True,
clean numeric fund_panel_tests.csv:hac_t,True,
clean numeric fund_panel_tests.csv:hac_p,True,
clean numeric fund_panel_tests.csv:block_p,True,
clean numeric fund_panel_tests.csv:mean_pairwise_correlation,True,
clean run produced idealized_scale_invariance_v21.csv,True,
clean shape idealized_scale_invariance_v21.csv,True,"(48, 7) vs (48, 7)"
clean numeric idealized_scale_invariance_v21.csv:horizon,True,
clean text idealized_scale_invariance_v21.csv:fund,True,
clean numeric idealized_scale_invariance_v21.csv:gamma,True,
clean text idealized_scale_invariance_v21.csv:model,True,
clean numeric idealized_scale_invariance_v21.csv:underlying_variance_oos_r2,True,
clean numeric idealized_scale_invariance_v21.csv:idealized_drag_oos_r2,True,
clean numeric idealized_scale_invariance_v21.csv:absolute_difference,True,
clean run produced inference_sensitivity_v21.csv,True,
clean shape inference_sensitivity_v21.csv,True,"(48, 10) vs (48, 10)"
clean numeric inference_sensitivity_v21.csv:horizon,True,
clean text inference_sensitivity_v21.csv:comparison,True,
clean text inference_sensitivity_v21.csv:model_a,True,
clean text inference_sensitivity_v21.csv:model_b,True,
clean text inference_sensitivity_v21.csv:method,True,
clean numeric inference_sensitivity_v21.csv:parameter,True,
clean numeric inference_sensitivity_v21.csv:n,True,
clean numeric inference_sensitivity_v21.csv:mean_loss_gain_a_over_b,True,
clean numeric inference_sensitivity_v21.csv:statistic,True,
clean numeric inference_sensitivity_v21.csv:p_value,True,
clean run produced nonoverlap_results.csv,True,
clean shape nonoverlap_results.csv,True,"(93, 12) vs (93, 12)"
clean numeric nonoverlap_results.csv:horizon,True,
clean numeric nonoverlap_results.csv:offset,True,
clean numeric nonoverlap_results.csv:n,True,
clean numeric nonoverlap_results.csv:r2_mean,True,
clean numeric nonoverlap_results.csv:r2_q_raw,True,
clean numeric nonoverlap_results.csv:r2_q_mz,True,
clean numeric nonoverlap_results.csv:r2_har3,True,
clean numeric nonoverlap_results.csv:r2_har4,True,
clean numeric nonoverlap_results.csv:r2_harq,True,
clean numeric nonoverlap_results.csv:r2_harqts,True,
clean numeric nonoverlap_results.csv:delta_qmz_qraw,True,
clean numeric nonoverlap_results.csv:delta_harqts_har4,True,
clean run produced recursive_coefficients.csv,True,
